insurance_no,insurance_name,insurance_address1,insurance_address2,insurance_city,state_cd,insurance_zip_cd,insurance_phone_no,insurance_fax_no,insurance_contact,insurance_account_no,signature_onfile_allowed,print_address_on_form,payer_id,receiver_id,payer_sub_id,claim_receiver_type,print_diag_or_ref,print_date_service_from_to,claim_form_use,pay_sales_tax,insurance_type,payment_policy,insurance_coverage,supper_box10,supper_box9c,supper_box11,supper_box14,supper_box24c,supper_box24k,recall_month,benefit_reserve,case_allowance,sales_tax_reimberse,rounding,carrier_no,HCFA_Template,accept_elect_claim,HCFA_PrintAddr,payor_commid,payor_commsub,LoadBox32onHCFA,Load4Modifiers,ExtInsID,useCMS1500Only,AcceptAssign,HL7HoldForDelivery,Combine_CPT,Box25_Type,TaxCopay,ElgWebAddress,Acc_Mod_CB,Acc_Mod_Other,Other_Mod_CB,Other_Mod_Other,CL_Mod_CB,CL_Mod_Type,CL_Mod_Other,Frame_Mod_CB,Frame_Mod_Option,Opt_Mod_CB,Opt_Mod_LT,Opt_Mod_Material,Opt_Mod_Color,Opt_Mod_Other,Opt_Mod_CB_UseRTLT,LensTreat_Mod_CB,LensTreat_Mod_Other,Ready_Mod_CB,Ready_Mod_Other,Service_Mod_CB,Service_Mod_Type,Service_Mod_Other,Plano_Mod_CB,Plano_Mod_Option,Attn,Job_Title,Contact_Phone,Contact_Email,PopulateBox9D,AutoPopulateBox17,TransAmtOnHCFA,ActivationDate,RevisionDate,TerminationDate,BillSTtoPatient,DisplaySTonHCFA,HCFAOptForST,TaxOnlyPatient,InsNotes,OutputFormat,Opt_Mod_LT_UseRTLT,Opt_Mod_Material_UseRTLT,Opt_Mod_Color_UseRTLT,Opt_Mod_Other_UseRTLT,Ins_PPO_HMO,Ins_Policy_Type,PatientPaymentOnClaim,PatientPrimaryPaymentOnClaim,PopulateBox17BillProvider,TaxMinusWO,applyPQRI,brief_name,DefaultValueFromVSPAssistant,OriginalVSP,ICD10_Start_Date,TaxIDOnStatement
1,National Government Services,P.O Box 6178,SMNY0,Indianapolis,604,46206-6178,(866) 837-0241,,,,0,0,000,0,,0,0,0,,0,4,,100,,0,0,0,0,0,0,0,0,0,0,3,MEDICARE,1,1,SMNY0,,1,0,,0,1,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2010-09-18 00:00:00.000,2021-01-25 00:00:00.000,2028-09-15 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1112,0,0,1,0,1,NGS,0,NULL,2015-10-01 00:00:00.000,0
2,New York Medicaid,One CSC Way,SKNY0,Rensselaer,65,12144,(800) 343-9000,,,,0,0,,0,,0,0,0,,0,5,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,1,1,,,1,0,,0,1,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2010-09-18 00:00:00.000,2021-09-21 00:00:00.000,2031-01-01 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,1,Medicaid,0,NULL,NULL,0
3,AmeriChoice of New York,P.O Box 7550,86048,Phoenix,593,85011,(866) 362-3368,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,1,1,86048,,1,0,,0,1,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2010-09-18 00:00:00.000,2015-09-17 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,1,ANY,0,NULL,2015-09-01 00:00:00.000,NULL
4,HIP - Health Health Plan Of New York,P.O. BOX  2845,,New York,65,10116-2845,(866) 447-9717,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,3,MEDICARE,1,1,55247,,1,0,,0,1,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2010-09-18 00:00:00.000,2021-01-25 00:00:00.000,2028-09-15 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,1,H-HHPNY,0,NULL,NULL,0
5,Oxford Health Plans,P.O BOX 7082,06111,Bridgeport,596,06601,(800) 666-1353,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,3,MEDICARE,1,1,06111,,1,0,,0,1,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2010-09-18 00:00:00.000,2021-01-25 00:00:00.000,2028-09-15 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,1,OHP,0,NULL,NULL,0
6,Local 1199,Benefits and Pension Fund,,0,65,0,0,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,10,MEDICARE,1,1,,,1,0,,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,2010-09-18 00:00:00.000,2021-01-25 00:00:00.000,2028-09-15 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,1,1199,0,NULL,2015-10-01 00:00:00.000,0
7,Local 371Social Service Employee,111,,111,65,1111,111111,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,10,MEDICARE,1,0,,,0,0,,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,2010-09-18 00:00:00.000,2022-02-08 00:00:00.000,2030-09-15 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,0,L3SE,0,NULL,NULL,0
8,Davis Vision,1111111,,111111,616,11111,11111,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,3,MEDICARE,1,1,,,1,0,,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,2010-09-18 00:00:00.000,2021-09-17 00:00:00.000,2031-01-01 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,0,DV,0,NULL,NULL,0
9,"Health Net of the Northeast, Inc",P.O BOX 14700,06108,Lexington,607,40512,,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,06108,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,0,HNtNI,NULL,NULL,NULL,NULL
10,United Healthcare,2 Penn Plaza,87726,New York,65,10121,(877) 842-3210,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,3,MEDICARE,1,1,87726,,1,0,,0,1,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2010-09-18 00:00:00.000,2021-08-16 00:00:00.000,2028-09-15 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,1,UH,0,NULL,NULL,0
11,GHI - NY,P.O. Box 2832,,New York,65,10116-2832,000000,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,1,1,13551,,1,0,,0,1,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,2010-09-18 00:00:00.000,2014-09-16 00:00:00.000,2014-09-14 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,0,G-N,0,NULL,NULL,NULL
12,New York Presbyterian Com. Health Plan,,,,0,,,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,0,NYPCHP,NULL,NULL,NULL,NULL
13,Davis Vision/Vision Care Processing,P.O. Box 1525,,Latham,65,12110,(800) 328-4728,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,1,1,,,1,0,,0,1,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2010-09-18 00:00:00.000,2021-09-17 00:00:00.000,2031-01-01 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,1,HF,0,NULL,2015-10-01 00:00:00.000,0
14,PBA,,,,0,,,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,0,PBA,NULL,NULL,NULL,NULL
15,Teamsters,,,,0,,,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,0,Teamster,NULL,NULL,NULL,NULL
16,Carpenters ins,,,,0,,,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,0,Ci,NULL,NULL,NULL,NULL
17,Local 32 BJ,,,,0,,,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,0,L3B,NULL,NULL,NULL,NULL
18,DC 37,,,,0,,,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,0,DC 37,NULL,NULL,NULL,NULL
19,Local 1-2 Con Edison,,,,0,,,,,,0,0,,0,,0,0,0,,0,4,,0,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,1,L1CE,NULL,NULL,NULL,NULL
20,Local 88 Amalgameted workers union,,,,0,,,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,0,L8Awu,NULL,NULL,NULL,NULL
21,Local 485 I.U.E.,,,,0,,,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,0,L4I,NULL,NULL,NULL,NULL
22,lOCAL 1180 CWA,,,,0,,,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,0,l1C,NULL,NULL,NULL,NULL
23,Local 854,,,,0,,,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,0,Local854,NULL,NULL,NULL,NULL
24,CSA Welfare fund,,,,0,,,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,0,CWf,NULL,NULL,NULL,NULL
25,N.Y.C District Council of Carpenters,,,,0,,,,,,0,0,,0,,0,0,0,,0,202,,100,,0,0,0,0,0,0,0,0,0,0,8,MEDICARE,0,1,,,1,0,,0,1,0,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0,1,1,2010-09-18 00:00:00.000,2011-09-18 00:00:00.000,2021-09-15 00:00:00.000,0,1,1,0,,1,NULL,NULL,NULL,NULL,NULL,1080,NULL,NULL,0,NULL,0,NDCC,NULL,NULL,NULL,NULL
