insurance_no,insurance_name,insurance_address1,insurance_address2,insurance_city,state_cd,insurance_zip_cd,insurance_phone_no,insurance_fax_no,insurance_contact,insurance_account_no,signature_onfile_allowed,print_address_on_form,payer_id,receiver_id,payer_sub_id,claim_receiver_type,print_diag_or_ref,print_date_service_from_to,claim_form_use,pay_sales_tax,insurance_type,payment_policy,insurance_coverage,supper_box10,supper_box9c,supper_box11,supper_box14,supper_box24c,supper_box24k,recall_month,benefit_reserve,case_allowance,sales_tax_reimberse,rounding,carrier_no,HCFA_Template,accept_elect_claim,HCFA_PrintAddr,payor_commid,payor_commsub,LoadBox32onHCFA,Load4Modifiers,ExtInsID,useCMS1500Only,AcceptAssign,HL7HoldForDelivery,Combine_CPT,Box25_Type,TaxCopay,ElgWebAddress,Acc_Mod_CB,Acc_Mod_Other,Other_Mod_CB,Other_Mod_Other,CL_Mod_CB,CL_Mod_Type,CL_Mod_Other,Frame_Mod_CB,Frame_Mod_Option,Opt_Mod_CB,Opt_Mod_LT,Opt_Mod_Material,Opt_Mod_Color,Opt_Mod_Other,Opt_Mod_CB_UseRTLT,LensTreat_Mod_CB,LensTreat_Mod_Other,Ready_Mod_CB,Ready_Mod_Other,Service_Mod_CB,Service_Mod_Type,Service_Mod_Other,Plano_Mod_CB,Plano_Mod_Option,Attn,Job_Title,Contact_Phone,Contact_Email,PopulateBox9D,AutoPopulateBox17,TransAmtOnHCFA,ActivationDate,RevisionDate,TerminationDate,BillSTtoPatient,DisplaySTonHCFA,HCFAOptForST,TaxOnlyPatient,InsNotes,OutputFormat,Opt_Mod_LT_UseRTLT,Opt_Mod_Material_UseRTLT,Opt_Mod_Color_UseRTLT,Opt_Mod_Other_UseRTLT,Ins_PPO_HMO,Ins_Policy_Type,PatientPaymentOnClaim,PatientPrimaryPaymentOnClaim,PopulateBox17BillProvider,TaxMinusWO,applyPQRI,brief_name,DefaultValueFromVSPAssistant,OriginalVSP,ICD10_Start_Date,TaxIDOnStatement
59,March Vision Care,"6701 Center Drive West, Suite 790",5246,Los Angeles,56,90045,(888) 493-4070,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,8,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2011-12-12 00:00:00.000,2021-09-17 00:00:00.000,2031-01-01 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,0,MVC,0,NULL,NULL,0
60,"Elder Serve Health, c/o Relay Health",1564 Northeast Expressway,,"Mail Stop HQ-2361, Atlanta",600,30329,(800) 370-3600,(888) 777-8279,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2011-12-13 00:00:00.000,2021-01-25 00:00:00.000,2028-12-15 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,1,0,1,ESH,0,NULL,NULL,0
61,Magnacare,P.O. Box 1001,11303,Garden City,65,11530,(800) 845-6592,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2012-01-02 00:00:00.000,2020-02-13 00:00:00.000,2023-01-02 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,1,0,0,Magnacar,0,NULL,NULL,0
62,Local 888,111,,111,65,11111,111111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,8,NULL,1,0,NULL,NULL,0,0,,0,0,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1,2012-02-07 00:00:00.000,2012-02-07 00:00:00.000,2022-02-07 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1112,0,0,0,0,0,Local888,NULL,NULL,NULL,NULL
63,United Healthcare Advantage Plans,PO Box 31362,,Salt Lake City,628,84131,(877) 842-3210,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2012-03-07 00:00:00.000,2021-01-25 00:00:00.000,2028-03-07 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,1,UH,0,NULL,NULL,0
64,NYSNA Welfare Fund,P.O Box 9005,,Lynbrook,65,11563,(800) 537-1238,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,200,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,8,NULL,1,0,NULL,NULL,0,0,,0,0,NULL,NULL,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1,2012-09-11 00:00:00.000,2012-09-11 00:00:00.000,2022-09-11 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1112,0,0,0,0,0,NYSNA,NULL,NULL,NULL,NULL
65,Local 100,111,,Brooklyn,65,11223,111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,8,NULL,1,0,NULL,NULL,0,0,,0,0,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1,2012-10-09 00:00:00.000,2012-10-09 00:00:00.000,2027-01-09 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1112,0,0,0,0,0,Local100,NULL,NULL,NULL,NULL
66,Local 1181,111,,New York,65,10000,111-1111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,8,NULL,1,0,NULL,NULL,0,0,,0,0,NULL,NULL,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1,2013-01-22 00:00:00.000,2013-01-22 00:00:00.000,2023-01-22 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1112,0,0,0,0,0,1181,NULL,NULL,NULL,NULL
67,Partners in Commuinity Care,1111,,New York,65,11111,11111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,4,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,8,NULL,1,0,NULL,NULL,0,0,,0,0,NULL,NULL,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1,2013-02-09 00:00:00.000,2013-02-09 00:00:00.000,2023-02-09 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1075,0,0,0,0,0,Fidelis,NULL,NULL,NULL,NULL
68,Tristate Benefit Solutions,619 Oak Street,,Cincinnati,620,45206,(513) 569-5050,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2013-02-01 00:00:00.000,2021-01-25 00:00:00.000,2028-02-09 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,0,TBS,0,NULL,NULL,0
69,UMR,P.O. Box 30541,,Salt Lake City,628,84130-0541,(877) 233-1800,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2013-03-01 00:00:00.000,2021-01-25 00:00:00.000,2028-03-01 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,0,UMR,0,NULL,NULL,0
70,Senior Health Partners,345 E 102nd Street ,,New York,65,10029,(800) 633-9717,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,4,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,8,NULL,1,0,NULL,NULL,0,0,,1,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2013-03-01 00:00:00.000,2015-03-13 00:00:00.000,2025-05-03 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,1,SHP,0,NULL,NULL,NULL
71,Productive Processing INC,P. O Box 608,,Black Earth,633,53515-0608,(877) 585-1131,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,8,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2013-10-01 00:00:00.000,2015-03-13 00:00:00.000,2020-10-02 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,1,PPI,0,NULL,NULL,NULL
72,ArchCAre Community LIfe,33 Irving Place,,New York,65,10003,(855) 467-9351,(855) 467-9351,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,8,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2013-11-29 00:00:00.000,2015-03-13 00:00:00.000,2023-11-29 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,1,ACL,0,NULL,NULL,NULL
73,Nippon Life Insurance Co. of America,P.O. BOX 25951,,Shawnee Mission,606,66225-5951,(877) 518-0770,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,8,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2015-01-08 00:00:00.000,2015-01-08 00:00:00.000,2025-01-08 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1080,0,0,0,0,0,Nippon,0,NULL,NULL,NULL
74,"Allied Benefit Systems,iNC",P.O. BOX 909786-60690,,Chicago,603,60690,(855) 442-3477,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,1,1,NULL,NULL,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2015-02-27 00:00:00.000,2019-02-20 00:00:00.000,2024-02-27 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1112,0,0,1,0,1,ABS,0,NULL,NULL,NULL
75,Block Vision,111111,,1111111,65,11111,111111111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,6,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,10,NULL,1,0,NULL,NULL,0,0,,1,0,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1,2011-12-23 00:00:00.000,2015-12-23 00:00:00.000,2024-12-23 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,0,0,0,Block ,0,NULL,NULL,NULL
76,TriCare For Life,P.O. BOX 7890,,Madison,633,53707,11111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,10,NULL,1,0,NULL,NULL,0,0,,1,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,2014-01-15 00:00:00.000,2016-01-15 00:00:00.000,2020-01-15 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,0,0,0,TFL,0,NULL,NULL,NULL
77,Eyequest,P.O. Box 527,,Thiensville,633,53092,111-1111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,5,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2014-05-01 00:00:00.000,2018-02-21 00:00:00.000,2026-05-19 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,0,0,0,Eyequest,0,NULL,NULL,NULL
78,Leading Edge Administrators,P.O. Box 188061,,Chattanoga,627,37422-8061,111111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,10,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2016-06-29 00:00:00.000,2016-09-29 00:00:00.000,2026-09-29 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,0,0,0,LEA,0,NULL,NULL,NULL
79,GEHA-ASA,P.O. BOX 981707,,EL PASO,378,79998-1707,(888) 257-4342,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2015-11-02 00:00:00.000,2020-12-03 00:00:00.000,2026-12-02 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,0,0,0,GEHA-ASA,0,NULL,NULL,0
80,Oxford HSA Direct/Freedom,P.O. Box 29130 ,,Hot Springs,593,71903,(800) 666-1353,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2017-09-01 00:00:00.000,2018-04-23 00:00:00.000,2026-09-28 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,0,0,0,OHD,0,NULL,NULL,NULL
81,Center Plan For Healthy Living,1564 Northeast Exspressway,Mail Stop HQ 2361,Atlanta,600,30329,111111111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Center Plan,,,,1,1,1,2018-03-01 00:00:00.000,2018-05-23 00:00:00.000,2028-05-17 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,1,0,0,Relay ,0,NULL,NULL,NULL
82,ILS-Guildnet,P.O Box 211685,,Eagan,612,55121,(888) 848-7505,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,201,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,1,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2018-06-01 00:00:00.000,2018-05-23 00:00:00.000,2028-05-23 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,1,0,0,ILS,0,NULL,NULL,NULL
83,National Vision Adminstration,111111,,1111,65,11111,11111111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,200,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,8,NULL,1,0,NULL,NULL,0,0,,1,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2019-02-04 00:00:00.000,2019-02-05 00:00:00.000,2028-02-05 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,1,0,0,NVA,0,NULL,NULL,NULL
84,Total Plan Concepts,P.O. Box 9763,,Arnold,294,21012,(877) 435-2063,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,201,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,1,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2019-06-01 00:00:00.000,2019-06-26 00:00:00.000,2027-06-26 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,1,0,0,TPC,0,NULL,NULL,NULL
85,Humana Claims,P.O. Box 14601,,Lexington,607,40512,11111111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2019-08-04 00:00:00.000,2020-07-28 00:00:00.000,2028-08-05 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,1112,0,0,1,0,0,Humana ,0,NULL,NULL,0
86,Anthem,PO BOX 1407,,New York,65,100081407,11111111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,1,0,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1,2019-06-02 00:00:00.000,2019-10-02 00:00:00.000,2029-10-02 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,0,0,0,Anthem,0,NULL,NULL,NULL
87,Lifestyle Health Plans,345 N. Riverview,Suite 600,Wichita,606,67203,(844) 643-5104,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2019-11-01 00:00:00.000,2019-11-14 00:00:00.000,2028-11-14 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,1,0,0,LHP,0,NULL,NULL,0
88,Allegiance ,P.O.BOX 186061,,Chattanooga,627,37422-8061,111111111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,3,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2020-07-23 00:00:00.000,2020-07-24 00:00:00.000,2029-07-24 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,0,0,0,Allegian,0,NULL,NULL,0
89,BRMS,80 IRON POINT CIR,STE 200,FOLSOM,56,92530-8593,11111,,,NULL,0,0,NULL,0,NULL,0,0,0,NULL,0,202,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,10,NULL,1,0,NULL,NULL,0,0,,0,1,NULL,NULL,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,2021-09-02 00:00:00.000,2021-09-04 00:00:00.000,2030-09-04 00:00:00.000,0,1,1,0,,1,0,0,0,0,1091,0,0,0,1,0,0,BRMS,0,NULL,NULL,0
